TIME[ns],    Itot[uA],
0    -6.92583e-07
3.25746e-05    -362.285
1.00309    -232.15
2.00615    -9.00096e+10
3.01552    -1.14266e+11
4.05592    -2.44248e+19
5.05931    -1.59362e+19
6.10334    -1.59362e+19
7.10672    -2.39043e+19
8.15198    -2.39043e+19
9.15536    -3.18724e+19
10.2018    -3.18724e+19
11.2052    -3.98405e+19
12.2584    -5.64169e+19
13.2618    -8.13751e+19
14.315    -1.65548e+28
15.3624    -1.65548e+28
16.3657    -3.31095e+28
17.4133    -3.31095e+28
18.4167    -3.31095e+28
19.4647    -3.31095e+28
20.468    -3.31095e+28
21.5163    -3.31095e+28
22.5211    -3.31095e+28
23.5677    -3.31095e+28
24.5724    -4.96643e+28
25.618    -8.35921e+28
26.6648    -1.00981e+29
27.6697    -1.35307e+29
28.7169    -3.43946e+37
29.7217    -3.43946e+37
30.7679    -3.43946e+37
31.7727    -3.43946e+37
32.8259    -3.43946e+37
33.8307    -3.43946e+37
34.8762    -3.43946e+37
35.881    -3.43946e+37
36.9253    -3.43946e+37
37.9301    -6.87893e+37
38.9789    -6.87893e+37
40.0245    -1.03184e+38
41.0802    -1.03184e+38
42.1377    -1.03184e+38
43.1785    -1.03184e+38
44.2253    -1.03184e+38
45.2438    -6.87893e+37
46.2956    -1.40611e+38
47.3418    -1.03184e+38
48.3935    -2.48628e+38
49.4413    -2.4413e+38
50.4925    -1.49401e+47
51.5379    -7.14593e+46
52.5921    -2.20386e+47
53.6415    -1.42919e+47
54.6656    -1.42919e+47
55.7107    -2.14378e+47
56.7218    -2.14378e+47
57.7904    -2.14378e+47
58.8376    -2.14378e+47
59.8881    -2.14378e+47
60.9169    -2.14378e+47
61.9829    -2.14378e+47
63.0326    -2.14378e+47
64.0845    -2.14378e+47
65.1221    -2.14378e+47
66.1641    -2.92701e+47
67.1783    -4.42352e+47
68.2346    -5.16679e+47
69.2805    -4.43025e+47
70.3296    -3.09585e+56
71.3737    -1.48466e+56
72.4052    -1.48466e+56
73.4558    -4.58984e+56
74.5013    -6.13315e+56
75.5435    -9.20365e+56
76.5854    -6.42749e+65
77.6512    -3.08457e+65
78.7303    -3.08457e+65
79.7672    -3.08457e+65
80.8205    -3.08457e+65
81.8692    -3.08457e+65
82.8942    -3.08457e+65
83.9439    -3.08457e+65
84.9947    -3.08457e+65
86.0237    -3.08457e+65
87.0702    -3.08457e+65
88.1118    -9.5449e+65
89.1607    -6.16914e+65
90.2058    -6.16914e+65
91.2106    -6.16914e+65
92.2769    -6.16914e+65
93.2884    -6.16914e+65
94.3426    -6.16914e+65
95.3591    -3.08457e+65
96.3829    -3.08457e+65
97.4174    -3.08457e+65
98.4643    -3.08457e+65
99.5122    -9.50048e+65
100.557    -6.16914e+65
101.575    -6.16914e+65
102.578    -6.16914e+65
103.589    -9.25372e+65
104.654    -9.25372e+65
105.681    -9.25372e+65
106.728    -9.25372e+65
107.773    -9.21428e+65
108.814    -2.21547e+66
109.858    -2.18017e+66
110.907    -1.84283e+66
111.974    -2.14736e+66
113.027    -2.45581e+66
114.107    -2.45581e+66
115.157    -2.77072e+66
116.233    -2.77114e+66
117.282    -3.08995e+66
118.331    -2.78231e+66
119.376    -2.78312e+66
120.425    -2.83516e+66
121.457    -3.45423e+66
122.519    -2.83054e+66
123.568    -2.83102e+66
124.583    -2.80788e+66
125.617    -2.52509e+66
126.666    -3.14183e+66
127.719    -3.14476e+66
128.724    -2.50184e+66
129.769    -2.19342e+66
130.807    -2.17055e+66
131.866    -3.14905e+66
132.908    -2.81783e+66
133.967    -3.48382e+66
135.033    -3.72758e+66
136.038    -3.68858e+66
137.095    -4.09469e+66
138.141    -4.16457e+66
139.208    -5.07184e+66
140.279    -1.37015e+75
141.327    -1.34349e+75
142.377    -2.78238e+84
143.428    -1.33147e+84
144.486    -1.33147e+84
145.532    -1.33147e+84
146.578    -1.33147e+84
147.628    -1.33147e+84
148.698    -1.33147e+84
149.747    -1.33147e+84
150.8    -1.33147e+84
151.873    -1.33147e+84
152.919    -1.33147e+84
153.963    -1.33147e+84
155.016    -1.33147e+84
156.083    -1.33147e+84
157.162    -1.33147e+84
158.209    -1.33147e+84
159.253    -6.9354e+84
160.301    -5.45619e+84
161.356    -5.75824e+93
162.406    -2.7663e+93
163.46    -8.53077e+93
164.534    -5.5326e+93
165.583    -5.5326e+93
166.63    -5.5326e+93
167.677    -5.5326e+93
168.722    -5.5326e+93
169.768    -5.5326e+93
170.825    -5.5326e+93
171.871    -5.5326e+93
172.916    -5.5326e+93
173.966    -1.13206e+94
175.035    -8.2989e+93
176.109    -8.2989e+93
177.256    -8.2989e+93
178.33    -8.2989e+93
179.383    -8.2989e+93
180.43    -5.5326e+93
181.478    -5.5326e+93
182.534    -2.7663e+93
183.606    -2.7663e+93
184.653    -2.7663e+93
185.71    -2.7663e+93
186.781    -2.7663e+93
187.862    -2.7663e+93
189.076    -2.7663e+93
190.237    -2.7663e+93
191.513    -2.7663e+93
192.698    -2.7663e+93
193.861    -2.66294e+84
195.138    -2.66294e+84
196.3    -2.66294e+84
197.462    -2.66294e+84
198.735    -2.66294e+84
199.921    -2.66294e+84
201.082    -5.83784e+74
202.268    -7.23576e+74
203.429    -5.52506e+74
204.702    -1.83214e+74
205.996    7.67026e+73
207.157    -6.31678e+73
208.423    -4.92685e+72
209.584    1.58722e+73
210.754    5.98944e+72
211.918    7.62641e+71
213.082    2.31242e+73
214.244    -1.50811e+73
215.407    3.70934e+73
216.583    -4.21715e+73
217.884    -5.44326e+73
219.047    6.14649e+73
220.265    -7.47883e+73
221.441    6.91605e+73
222.745    -1.52302e+74
223.907    1.58604e+74
225.204    -2.24873e+74
226.475    1.36216e+74
227.639    -8.55975e+73
228.8    1.03919e+74
229.996    -8.59897e+73
231.159    9.99657e+73
232.433    -1.48766e+74
233.595    1.60323e+74
234.879    -2.11543e+74
236.122    1.51421e+74
237.371    -1.66763e+74
238.618    1.12107e+74
239.785    -5.99754e+73
241.014    2.96698e+73
242.177    1.96159e+73
243.342    7.80865e+72
244.502    3.72007e+73
245.664    -1.05973e+73
246.825    4.89475e+73
248.063    -8.88607e+73
249.365    7.57737e+72
250.823    -2.22538e+74
251.985    2.71599e+74
253.29    -3.22406e+74
254.579    2.58921e+74
255.741    -1.90309e+74
257.032    1.3642e+74
258.195    -7.75063e+73
259.415    8.93941e+73
260.578    -3.89586e+73
261.79    5.46277e+73
262.995    -4.5121e+73
264.33    -4.02537e+73
265.783    -1.52716e+74
266.946    2.22066e+74
268.261    -2.67619e+74
269.423    3.27125e+74
270.585    -2.48677e+74
271.867    2.03541e+74
273.26    -3.15805e+74
274.76    1.00683e+74
275.921    -1.21969e+73
277.236    -1.53703e+73
278.398    8.99764e+73
279.689    -9.53512e+73
281.081    -2.19853e+73
282.562    -1.28109e+74
284.892    -6.86924e+74
286.062    1.55723e+74
287.275    3.51424e+73
288.617    2.80874e+73
290.086    -4.0179e+73
291.247    2.16624e+74
292.553    -1.17294e+74
293.713    2.6722e+74
295.004    -1.75529e+74
296.398    1.29727e+74
297.888    -1.91247e+74
299.634    -1.0481e+74
301.973    -5.21333e+74
304.319    -7.59169e+73
306.668    -2.23997e+74
309.023    -6.38269e+73
311.463    -1.18623e+74
313.899    -5.16695e+73
316.341    -2.60815e+73
318.783    -4.80208e+73
321.36    -4.13718e+73
323.928    -4.0577e+73
326.495    1.30418e+73
329.054    -3.83629e+73
334.971    -1.26363e+75
345.02    -1.94499e+75
347.373    -1.94502e+75
349.056    -1.95118e+75
350.935    -1.70933e+75
352.981    -2.46368e+75
355.289    -4.15694e+75
356.974    -4.15562e+75
359.003    -2.23929e+75
361.274    -2.23911e+75
363.545    -2.06608e+75
365.817    -2.06606e+75
368.086    -2.06938e+75
369.414    -2.06937e+75
370.553    -2.06936e+75
371.714    -2.2608e+75
373.081    -2.26068e+75
374.316    -2.26057e+75
375.483    -2.26046e+75
376.927    -4.2084e+75
378.394    -4.20701e+75
379.732    -4.20575e+75
381.451    -2.04331e+75
383.156    -2.0433e+75
385.406    -2.0433e+75
387.09    -2.0433e+75
388.725    -2.04329e+75
390.103    -3.98611e+75
391.691    -5.73401e+84
392.74    -4.26531e+84
394.137    -4.24762e+84
396.287    -4.23023e+84
398.443    -4.58021e+84
400.605    -4.76163e+84
402.764    -4.99181e+84
404.219    -6.19979e+84
405.318    -4.16243e+84
406.45    -4.16241e+84
407.571    -4.16239e+84
408.707    -4.16238e+84
409.843    -4.13938e+84
410.978    -4.13937e+84
412.113    -4.13936e+84
413.265    -4.13934e+84
414.412    -4.39999e+84
415.602    -4.39983e+84
417.861    -4.39953e+84
420.12    -7.58604e+84
422.38    -7.5827e+84
424.535    -4.05403e+84
426.236    -4.05403e+84
427.333    -4.05403e+84
428.528    -4.05403e+84
430.046    -4.05403e+84
431.83    -4.05404e+84
433.5    -4.02903e+84
435.706    -4.02904e+84
437.907    -4.02904e+84
439.434    -4.02904e+84
440.733    -4.02904e+84
441.791    -2.06796e+85
443.117    -1.75536e+94
444.32    -1.24207e+94
445.591    -1.64186e+94
446.73    -2.81775e+94
448.011    -8.31724e+93
449.075    -8.31724e+93
450.16    -8.31725e+93
451.249    -8.31725e+93
452.36    -8.31725e+93
454.608    -8.31725e+93
456.858    -8.30605e+93
459.111    -8.30605e+93
461.364    -8.30606e+93
463.617    -8.30606e+93
465.87    -4.47062e+94
466.915    -4.60408e+103
468.105    -2.67057e+103
469.285    -2.79793e+103
471.106    -5.75091e+103
472.973    -1.72245e+103
474.544    -1.72245e+103
476.796    -1.72245e+103
479.047    -1.72245e+103
481.297    -1.7086e+103
483.547    -1.7086e+103
485.797    -1.7086e+103
488.047    -2.98264e+103
489.156    -2.9811e+103
490.261    -4.40731e+103
491.388    -5.37941e+112
492.513    -3.48289e+112
493.655    -3.47268e+112
494.791    -3.46037e+112
496.042    -3.4443e+112
497.397    -7.24479e+111
498.843    -6.08312e+111
500.198    -4.05838e+111
502.243    1.32752e+112
503.522    5.00029e+112
504.972    -3.22087e+112
506.352    -3.22259e+112
507.823    -8.32982e+112
508.87    -8.21619e+112
509.922    -1.03636e+122
510.999    -4.96174e+121
512.076    -4.96174e+121
513.858    -4.96174e+121
515.795    -4.96174e+121
518.044    -4.96174e+121
520.292    -4.96174e+121
522.54    -4.96174e+121
524.065    -4.96174e+121
526.15    -4.96174e+121
528.399    -2.98604e+112
530.647    -4.06364e+112
533.073    -3.58232e+112
534.913    -3.58232e+112
537.162    -3.58232e+112
539.41    -3.58232e+112
541.658    -3.58232e+112
