TIME[ns],    Itot[uA],
0    -2.92453e-07
0.000195448    -2.92476e-07
17.9434    -2.80302e-07
35.8865    -2.76363e-07
53.8296    -2.73081e-07
71.7727    -2.67431e-07
89.7154    -2.61593e-07
107.658    -2.55467e-07
125.601    -2.48907e-07
143.544    -2.44885e-07
161.487    -2.46838e-07
179.43    -2.44142e-07
197.373    -2.38219e-07
215.315    -2.30111e-07
233.258    -2.24002e-07
251.201    -2.29037e-07
269.144    -2.23214e-07
287.087    -2.14265e-07
305.03    -2.22822e-07
322.973    -2.11959e-07
340.916    -2.08183e-07
358.859    -2.11212e-07
376.802    -2.04983e-07
394.744    -2.13974e-07
412.687    -2.01925e-07
430.63    -2.07976e-07
448.573    -2.01681e-07
466.515    -2.09099e-07
484.458    -1.97723e-07
502.401    -2.04631e-07
520.344    -1.97278e-07
538.287    -1.85517e-07
556.23    -1.9633e-07
574.172    -1.8275e-07
592.115    -1.90847e-07
610.058    -1.82215e-07
628.001    -1.86732e-07
645.944    -1.90105e-07
663.886    -1.85683e-07
681.829    -1.89479e-07
699.772    -1.76011e-07
717.714    -1.85941e-07
735.657    -1.75684e-07
753.6    -1.81087e-07
771.543    -1.85451e-07
789.486    -1.75986e-07
807.429    -1.80623e-07
825.372    -1.73094e-07
843.315    -1.75771e-07
861.258    -1.66126e-07
879.201    -1.72365e-07
897.144    -1.62009e-07
915.087    -1.65394e-07
933.03    -1.71722e-07
950.973    -1.60382e-07
968.916    -1.64915e-07
986.859    -1.71547e-07
1004.8    -1.59772e-07
1022.75    -1.63598e-07
1040.69    -1.68838e-07
1058.63    -1.59257e-07
1076.57    -1.62976e-07
1094.52    -1.67133e-07
1112.46    -1.58767e-07
1130.4    -1.62476e-07
1148.35    -1.64415e-07
1166.29    -1.56955e-07
1184.23    -1.61817e-07
1202.18    -1.64252e-07
1220.12    -1.56549e-07
1238.06    -1.56577e-07
1256    -1.63221e-07
1273.95    -1.5482e-07
1291.89    -1.5488e-07
1309.83    -1.60199e-07
1327.78    -1.52778e-07
1345.72    -1.54109e-07
1363.66    -1.5857e-07
1381.61    -1.65787e-07
1399.55    -1.52519e-07
1417.49    -1.57385e-07
1435.44    -1.63644e-07
1453.38    -1.52174e-07
1471.32    -1.557e-07
1489.26    -1.62873e-07
1507.21    -1.49692e-07
1525.15    -1.54596e-07
1543.09    -1.59535e-07
1561.04    -1.49253e-07
1578.98    -1.52917e-07
1596.92    -1.58467e-07
1614.87    -1.44916e-07
1632.81    -1.50184e-07
1650.75    -1.54813e-07
1668.7    -1.44842e-07
1686.64    -1.4815e-07
1704.58    -1.50437e-07
1722.52    -1.40831e-07
1740.47    -1.42464e-07
1758.41    -1.49533e-07
1776.35    -1.36793e-07
1794.3    -1.39854e-07
1812.24    -1.42166e-07
1830.18    -1.32366e-07
1848.13    -1.36681e-07
1866.07    -1.39794e-07
1884.01    -1.41186e-07
1901.95    -1.3075e-07
1919.9    -1.36336e-07
1937.84    -1.39503e-07
1955.78    -1.41008e-07
1973.73    -1.43304e-07
1991.67    -1.36271e-07
2009.61    -1.39336e-07
2027.56    -1.39311e-07
2045.5    -1.4305e-07
2063.44    -1.34306e-07
2081.39    -1.38704e-07
2099.33    -1.39239e-07
2117.27    -1.42873e-07
2135.22    -1.34142e-07
2153.16    -1.36391e-07
2171.1    -1.39062e-07
2189.04    -1.42755e-07
2206.99    -1.33976e-07
2224.93    -1.36149e-07
2242.87    -1.3713e-07
2260.82    -1.426e-07
2278.76    -1.33757e-07
2296.7    -1.36037e-07
2314.65    -1.36556e-07
2332.59    -1.40591e-07
2350.53    -1.33632e-07
2368.47    -1.35871e-07
2386.42    -1.36362e-07
2404.36    -1.40084e-07
2422.3    -1.31644e-07
2440.25    -1.33457e-07
2458.19    -1.36233e-07
2476.13    -1.38508e-07
2494.08    -1.31095e-07
2512.02    -1.31565e-07
2529.96    -1.36022e-07
2547.91    -1.36177e-07
2565.85    -1.29615e-07
2583.79    -1.31031e-07
2601.73    -1.34087e-07
2619.68    -1.35932e-07
2637.62    -1.26028e-07
2655.56    -1.29454e-07
2673.51    -1.33647e-07
2691.45    -1.34011e-07
2709.39    -1.24429e-07
2727.34    -1.29184e-07
2745.28    -1.29764e-07
2763.22    -1.33479e-07
2781.16    -1.36187e-07
2799.11    -1.2867e-07
2817.05    -1.29088e-07
2834.99    -1.2962e-07
2852.94    -1.33303e-07
2870.88    -1.27256e-07
2888.82    -1.28608e-07
2906.77    -1.29026e-07
2924.71    -1.29528e-07
2942.65    -1.21037e-07
2960.6    -1.27082e-07
2978.54    -1.28256e-07
2996.48    -1.28965e-07
3014.43    -1.15881e-07
3032.37    -1.20945e-07
3050.31    -1.26819e-07
3068.25    -1.2811e-07
3086.2    -1.28613e-07
