TIME[ns],    Itot[uA],
0    -0.54794
0.021413    -0.54718
0.042826    -0.545772
0.064239    -0.544463
0.085652    -0.543951
0.107065    -0.54249
0.128478    -0.541002
0.149891    -0.539579
0.171304    -0.53931
0.192717    -0.537784
0.21413    -0.536224
0.235543    -0.535912
0.256956    -0.53448
0.278369    -0.532935
0.299782    -0.531449
0.321195    -0.531043
0.342608    -0.529596
0.364021    -0.528166
0.385434    -0.527707
0.406847    -0.526115
0.42826    -0.524649
0.449673    -0.524223
0.471086    -0.522807
0.492499    -0.521316
0.513912    -0.519786
0.535325    -0.51926
0.556738    -0.517733
0.578151    -0.517486
0.599564    -0.515875
0.620977    -0.514394
0.64239    -0.513823
0.663803    -0.512488
0.685216    -0.510894
0.706629    -0.510604
0.728042    -0.508934
0.749455    -0.507328
0.770868    -0.506901
0.792281    -0.505406
0.813694    -0.505048
0.835107    -0.503473
0.85652    -0.50293
0.877933    -0.501534
0.899346    -0.499937
0.920759    -0.499416
0.942172    -0.49798
0.963585    -0.497425
0.984998    -0.495897
1.00641    -0.495605
1.02782    -0.493974
1.04924    -0.493428
1.07065    -0.491817
1.09206    -0.490356
1.11348    -0.489883
1.13489    -0.488298
1.1563    -0.487935
1.17772    -0.486348
1.19913    -0.485833
1.22054    -0.484402
1.24195    -0.483951
1.26337    -0.482291
1.28478    -0.481738
1.30619    -0.480301
1.32761    -0.479905
1.34902    -0.479306
1.37043    -0.477762
1.39185    -0.477324
1.41326    -0.475741
1.43467    -0.475312
1.45608    -0.473639
1.4775    -0.47333
1.49891    -0.471663
1.52032    -0.471132
1.54174    -0.470824
1.56315    -0.469297
1.58456    -0.468703
1.60598    -0.467176
1.62739    -0.466601
1.6488    -0.466258
1.67021    -0.464787
1.69163    -0.464138
1.71304    -0.462573
1.73445    -0.462216
1.75587    -0.461704
1.77728    -0.460091
1.79869    -0.459664
1.82011    -0.458029
1.84152    -0.457534
1.86293    -0.457097
1.88434    -0.455574
1.90576    -0.455064
1.92717    -0.454597
1.94858    -0.453076
1.97    -0.452639
1.99141    -0.452151
2.01282    -0.450542
2.03424    -0.450177
2.05565    -0.449603
2.07706    -0.447979
2.09847    -0.447483
2.11989    -0.447239
2.1413    -0.445536
2.16271    -0.444964
2.18413    -0.444539
2.20554    -0.443136
2.22695    -0.442592
2.24837    -0.442
2.26978    -0.440457
2.29119    -0.440149
2.3126    -0.439688
2.33402    -0.438057
2.35543    -0.437534
2.37684    -0.437119
2.39826    -0.435522
2.41967    -0.435038
2.44108    -0.434529
2.4625    -0.433059
2.48391    -0.43254
2.50532    -0.43205
2.52673    -0.431626
2.54815    -0.430154
2.56956    -0.429592
2.59097    -0.429059
2.61239    -0.427587
2.6338    -0.427166
2.65521    -0.426671
2.67663    -0.426112
2.69804    -0.424617
2.71945    -0.424135
2.74086    -0.423779
2.76228    -0.42312
2.78369    -0.421659
2.8051    -0.421175
2.82652    -0.420741
2.84793    -0.419197
2.86934    -0.418642
2.89076    -0.418154
2.91217    -0.417748
2.93358    -0.416174
2.95499    -0.415752
2.97641    -0.415244
2.99782    -0.414698
3.01923    -0.413261
3.04065    -0.41278
3.06206    -0.41226
3.08347    -0.411739
3.10489    -0.410315
3.1263    -0.409853
3.14771    -0.409367
3.16912    -0.408786
3.19054    -0.407275
3.21195    -0.406853
3.23336    -0.406358
3.25478    -0.405908
3.27619    -0.404264
3.2976    -0.403844
3.31902    -0.403487
3.34043    -0.402977
3.36184    -0.401352
3.38325    -0.400889
3.40467    -0.400388
3.42608    -0.400029
3.44749    -0.398443
3.46891    -0.397849
3.49032    -0.397434
3.51173    -0.396884
3.53315    -0.395458
3.55456    -0.394925
3.57597    -0.394441
3.59738    -0.394008
3.6188    -0.39351
3.64021    -0.392007
3.66162    -0.391476
3.68304    -0.390955
3.70445    -0.390526
3.72586    -0.388972
3.74728    -0.388511
3.76869    -0.388021
3.7901    -0.387487
3.81151    -0.385974
3.83293    -0.385524
3.85434    -0.385
3.87575    -0.384515
3.89717    -0.384008
3.91858    -0.382508
3.93999    -0.382056
3.96141    -0.381529
3.98282    -0.381024
4.00423    -0.379475
4.02564    -0.37895
4.04706    -0.378518
4.06847    -0.37804
4.08988    -0.377583
4.1113    -0.376006
4.13271    -0.375442
4.15412    -0.374958
4.17554    -0.374465
4.19695    -0.373951
4.21836    -0.372407
4.23977    -0.371956
4.26119    -0.371443
4.2826    -0.370994
4.30401    -0.369382
4.32543    -0.368877
4.34684    -0.368416
4.36825    -0.367832
4.38967    -0.367423
4.41108    -0.36583
4.43249    -0.365297
4.4539    -0.364841
4.47532    -0.364279
4.49673    -0.363869
4.51814    -0.362168
4.53956    -0.361638
4.56097    -0.361163
4.58238    -0.360657
4.6038    -0.359154
4.62521    -0.358536
4.64662    -0.358005
4.66803    -0.357567
4.68945    -0.356993
