TIME[ns],    Itot[uA],
0    -0.5482
0.021413    -0.547445
0.042826    -0.546039
0.064239    -0.544735
0.085652    -0.544229
0.107065    -0.54277
0.128478    -0.541284
0.149891    -0.539863
0.171304    -0.539602
0.192717    -0.538077
0.21413    -0.536517
0.235543    -0.536214
0.256956    -0.534787
0.278369    -0.533242
0.299782    -0.531757
0.321195    -0.531358
0.342608    -0.529912
0.364021    -0.528486
0.385434    -0.528034
0.406847    -0.526443
0.42826    -0.524978
0.449673    -0.52456
0.471086    -0.523148
0.492499    -0.521656
0.513912    -0.520127
0.535325    -0.519608
0.556738    -0.518082
0.578151    -0.517846
0.599564    -0.516235
0.620977    -0.514756
0.64239    -0.514191
0.663803    -0.512856
0.685216    -0.511266
0.706629    -0.510983
0.728042    -0.509314
0.749455    -0.507708
0.770868    -0.507289
0.792281    -0.505797
0.813694    -0.505447
0.835107    -0.50387
0.85652    -0.503333
0.877933    -0.50194
0.899346    -0.500345
0.920759    -0.499831
0.942172    -0.498396
0.963585    -0.497847
0.984998    -0.496318
1.00641    -0.496057
1.02782    -0.494406
1.04924    -0.493867
1.07065    -0.492255
1.09206    -0.490796
1.11348    -0.490332
1.13489    -0.488747
1.1563    -0.48839
1.17772    -0.486804
1.19913    -0.486295
1.22054    -0.484867
1.24195    -0.484423
1.26337    -0.482763
1.28478    -0.482216
1.30619    -0.480778
1.32761    -0.480392
1.34902    -0.479799
1.37043    -0.478255
1.39185    -0.477824
1.41326    -0.476241
1.43467    -0.475821
1.45608    -0.474147
1.4775    -0.473844
1.49891    -0.472177
1.52032    -0.471651
1.54174    -0.471354
1.56315    -0.469827
1.58456    -0.469238
1.60598    -0.467711
1.62739    -0.467142
1.6488    -0.466807
1.67021    -0.465336
1.69163    -0.464692
1.71304    -0.463128
1.73445    -0.462778
1.75587    -0.462273
1.77728    -0.460661
1.79869    -0.460238
1.82011    -0.458603
1.84152    -0.458114
1.86293    -0.457687
1.88434    -0.456161
1.90576    -0.455658
1.92717    -0.455196
1.94858    -0.453675
1.97    -0.453244
1.99141    -0.452763
2.01282    -0.451154
2.03424    -0.450795
2.05565    -0.450226
2.07706    -0.448602
2.09847    -0.448113
2.11989    -0.447875
2.1413    -0.44617
2.16271    -0.445603
2.18413    -0.445185
2.20554    -0.443784
2.22695    -0.443259
2.24837    -0.442658
2.26978    -0.441112
2.29119    -0.440812
2.3126    -0.440358
2.33402    -0.438726
2.35543    -0.438208
2.37684    -0.437799
2.39826    -0.436207
2.41967    -0.435724
2.44108    -0.43522
2.4625    -0.433748
2.48391    -0.433235
2.50532    -0.43275
2.52673    -0.432333
2.54815    -0.430861
2.56956    -0.430303
2.59097    -0.429775
2.61239    -0.428301
2.6338    -0.427887
2.65521    -0.427397
2.67663    -0.426842
2.69804    -0.425347
2.71945    -0.42487
2.74086    -0.424508
2.76228    -0.423866
2.78369    -0.422403
2.8051    -0.421924
2.82652    -0.421495
2.84793    -0.41995
2.86934    -0.4194
2.89076    -0.418917
2.91217    -0.418516
2.93358    -0.416941
2.95499    -0.416524
2.97641    -0.415981
2.99782    -0.415478
3.01923    -0.41404
3.04065    -0.413564
3.06206    -0.413049
3.08347    -0.412533
3.10489    -0.411057
3.1263    -0.410649
3.14771    -0.410168
3.16912    -0.409598
3.19054    -0.408079
3.21195    -0.407661
3.23336    -0.40717
3.25478    -0.406724
3.27619    -0.405077
3.2976    -0.404662
3.31902    -0.40431
3.34043    -0.403804
3.36184    -0.402176
3.38325    -0.401719
3.40467    -0.401221
3.42608    -0.400865
3.44749    -0.399277
3.46891    -0.398686
3.49032    -0.398276
3.51173    -0.39773
3.53315    -0.396302
3.55456    -0.395772
3.57597    -0.395293
3.59738    -0.394863
3.6188    -0.394368
3.64021    -0.392863
3.66162    -0.392335
3.68304    -0.391818
3.70445    -0.391393
3.72586    -0.389836
3.74728    -0.389379
3.76869    -0.388891
3.7901    -0.38836
3.81151    -0.386844
3.83293    -0.386398
3.85434    -0.385878
3.87575    -0.385396
3.89717    -0.384892
3.91858    -0.383389
3.93999    -0.382953
3.96141    -0.382415
3.98282    -0.381913
4.00423    -0.380361
4.02564    -0.37984
4.04706    -0.379411
4.06847    -0.378936
4.08988    -0.37848
4.1113    -0.37685
4.13271    -0.376338
4.15412    -0.375858
4.17554    -0.375367
4.19695    -0.374856
4.21836    -0.373308
4.23977    -0.372861
4.26119    -0.372348
4.2826    -0.371902
4.30401    -0.370286
4.32543    -0.369784
4.34684    -0.369326
4.36825    -0.368744
4.38967    -0.368337
4.41108    -0.366738
4.43249    -0.366207
4.4539    -0.365754
4.47532    -0.365194
4.49673    -0.364786
4.51814    -0.363081
4.53956    -0.362558
4.56097    -0.36208
4.58238    -0.361574
4.6038    -0.360067
4.62521    -0.359451
4.64662    -0.358922
4.66803    -0.358486
4.68945    -0.357913
4.71086    -0.356428
4.73227    -0.355832
4.75369    -0.355274
4.7751    -0.354817
4.79651    -0.354244
4.81793    -0.35274
4.83934    -0.352097
4.86075    -0.351552
4.88216    -0.351035
4.90358    -0.350521
4.92499    -0.348986
4.9464    -0.34835
4.96782    -0.347851
4.98923    -0.347323
5.01064    -0.345647
5.03206    -0.345184
5.05347    -0.344541
