TIME[ns],    Itot[uA],
0    -0.541074
1.95448e-06    -0.541074
0.0150263    -0.537365
0.0300507    -0.534409
0.0451028    -0.531583
0.0601333    -0.529694
0.0752398    -0.52808
0.0902778    -0.525808
0.105419    -0.522014
0.120472    -0.51997
0.135556    -0.51934
0.150671    -0.519442
0.165757    -0.51688
0.180784    -0.515972
0.195849    -0.51546
0.210939    -0.51423
0.226058    -0.512578
0.241201    -0.510586
0.256334    -0.509336
0.271452    -0.50925
0.286552    -0.507457
0.301632    -0.506024
0.316673    -0.505728
0.3317    -0.504156
0.346741    -0.503631
0.361799    -0.501417
0.376875    -0.502671
0.39197    -0.502182
0.40709    -0.502026
0.422231    -0.49893
0.437363    -0.497837
0.452471    -0.497742
0.467554    -0.497571
0.482588    -0.495815
0.497622    -0.494798
0.512677    -0.494165
0.527775    -0.493756
0.542857    -0.491937
0.558023    -0.491467
0.573149    -0.48985
0.588252    -0.490071
0.60339    -0.487898
0.618425    -0.487283
0.633538    -0.485989
0.648697    -0.485821
0.663844    -0.483665
0.67896    -0.482312
0.694126    -0.481876
0.709241    -0.481092
0.724275    -0.480006
0.739318    -0.478898
0.754394    -0.478768
0.769482    -0.477591
0.784578    -0.47712
0.799731    -0.475956
0.814779    -0.474916
0.829911    -0.473225
0.844992    -0.473523
0.860038    -0.472994
0.875126    -0.47129
0.890236    -0.470738
0.905378    -0.47093
0.92049    -0.470173
0.935595    -0.468838
0.950646    -0.468889
0.965673    -0.467745
0.980711    -0.466199
0.995803    -0.465384
1.0109    -0.464589
1.02609    -0.461986
1.04123    -0.462593
1.05641    -0.461914
1.07146    -0.459433
1.08662    -0.460408
1.1018    -0.46003
1.1169    -0.45927
1.13213    -0.457713
1.14718    -0.456609
1.16221    -0.455685
1.17738    -0.454543
1.19255    -0.453899
1.20764    -0.454626
1.22287    -0.45359
1.23795    -0.45381
1.25299    -0.450062
1.26816    -0.451153
1.28333    -0.450257
1.2984    -0.45097
1.31365    -0.449097
1.32871    -0.447848
1.34376    -0.446608
1.35895    -0.446317
1.37411    -0.445881
1.38923    -0.444255
1.40444    -0.44385
1.41953    -0.443956
1.43481    -0.442625
1.45023    -0.442445
1.46553    -0.442221
1.48066    -0.441338
1.49581    -0.440206
1.511    -0.440109
1.52621    -0.438533
1.54132    -0.438491
1.5564    -0.437103
1.57146    -0.436217
1.58655    -0.436393
1.60179    -0.435233
1.61685    -0.435975
1.63205    -0.433088
1.6472    -0.432367
1.66224    -0.432062
1.67748    -0.431822
1.69256    -0.430612
1.70761    -0.43124
1.72272    -0.430459
1.73789    -0.428564
1.75307    -0.428437
1.76821    -0.426806
1.78328    -0.426262
1.79849    -0.425025
1.81362    -0.425242
1.82894    -0.424246
1.84405    -0.42362
1.85915    -0.422335
1.87432    -0.421831
1.88949    -0.422561
1.90489    -0.421073
1.92016    -0.420037
1.93525    -0.420311
1.95045    -0.420574
1.9656    -0.418628
1.98098    -0.418498
1.99615    -0.416702
2.01124    -0.416077
2.02644    -0.415429
2.0416    -0.414065
2.05677    -0.413994
2.07191    -0.414371
2.087    -0.414112
2.1022    -0.412273
2.11735    -0.412047
2.13241    -0.413368
2.14746    -0.41206
2.16254    -0.411256
2.17766    -0.410998
2.19274    -0.409921
2.20787    -0.40871
2.22306    -0.408212
2.23816    -0.405724
2.25335    -0.406344
2.26851    -0.406074
2.28362    -0.402648
2.29871    -0.401767
2.31388    -0.401997
2.32902    -0.401263
2.34443    -0.402018
2.35965    -0.400041
2.37474    -0.399591
2.38994    -0.399972
2.4051    -0.399412
2.42026    -0.399826
2.43541    -0.399026
2.4505    -0.397332
2.46564    -0.397187
2.48073    -0.395855
2.49592    -0.395934
2.51105    -0.3939
2.52609    -0.392511
2.5412    -0.392355
2.55636    -0.391599
2.57147    -0.391565
2.58666    -0.390781
2.60175    -0.389141
2.61689    -0.390015
2.6321    -0.389122
2.64731    -0.388892
2.66242    -0.387439
2.67755    -0.386491
2.69266    -0.386319
2.70783    -0.386408
2.72298    -0.385716
2.73821    -0.385926
2.75361    -0.384753
2.76882    -0.384439
2.78391    -0.383171
2.79906    -0.382827
2.81419    -0.380776
2.82926    -0.381219
2.8445    -0.381666
2.85957    -0.382098
2.87463    -0.380017
2.88968    -0.379709
2.9048    -0.379263
2.92002    -0.378984
2.93512    -0.378395
2.95018    -0.376583
2.96525    -0.376287
2.98036    -0.376413
2.99554    -0.376014
3.01071    -0.374672
3.02623    -0.373163
3.04166    -0.373044
3.05688    -0.372691
3.07198    -0.372213
3.08706    -0.369945
3.10209    -0.370812
3.11724    -0.36876
3.13241    -0.369794
3.14763    -0.369307
3.16298    -0.369196
3.17811    -0.366579
3.19326    -0.366217
3.20843    -0.367513
3.22365    -0.365671
3.23869    -0.365137
3.25381    -0.365531
3.26902    -0.364829
3.28413    -0.363066
3.2993    -0.362067
3.31441    -0.360509
3.32961    -0.360845
3.34473    -0.360575
3.35998    -0.35932
3.37501    -0.359607
3.39015    -0.359415
3.40534    -0.357799
3.42053    -0.356944
3.43562    -0.35687
3.45088    -0.354525
3.46593    -0.354322
3.48108    -0.35421
3.4962    -0.353772
3.51141    -0.353432
3.52652    -0.353245
3.54174    -0.352224
3.55681    -0.351892
3.57203    -0.349841
3.58711    -0.350452
3.60237    -0.350307
3.61754    -0.350361
3.63269    -0.348515
3.64775    -0.348298
3.66301    -0.348603
3.67808    -0.34793
3.69325    -0.347023
3.70836    -0.345127
3.72344    -0.345353
3.73868    -0.345313
3.75373    -0.344123
3.76906    -0.342914
3.78434    -0.344371
3.79942    -0.342544
3.81452    -0.3422
3.82967    -0.340645
3.84486    -0.338742
3.85995    -0.339917
3.87501    -0.33887
3.89025    -0.338179
3.90534    -0.336848
3.92043    -0.336412
3.93558    -0.336921
3.95062    -0.33491
3.96579    -0.334653
3.98094    -0.334835
3.99618    -0.333257
4.0112    -0.333156
4.02651    -0.333187
4.04185    -0.331955
4.05696    -0.330875
4.07217    -0.330192
4.08721    -0.330149
4.1025    -0.329222
4.11761    -0.330109
4.13279    -0.328162
4.14796    -0.327628
4.16339    -0.328762
4.17869    -0.326869
4.19377    -0.325921
4.20894    -0.325357
