TIME[ns],    Itot[uA],
0    -5.05136
0.0189043    -5.1498
0.0378086    -5.55255
0.056713    -6.57301
0.0756173    -6.41641
0.0945216    -7.57249
0.113426    -7.45896
0.13233    -7.6441
0.151235    -8.38896
0.170139    -9.28691
0.189043    -8.89276
0.207948    -9.62911
0.226852    -11.0026
0.245756    -9.31711
0.26466    -10.9441
0.283565    -11.0899
0.302469    -10.3623
0.321373    -12.5848
0.340278    -11.6255
0.359182    -12.0709
0.378086    -13.2078
0.396991    -12.8699
0.415895    -13.3618
0.434799    -14.1504
0.453704    -13.8927
0.472608    -14.3651
0.491512    -14.8487
0.510417    -14.2419
0.529321    -15.6987
0.548225    -16.5466
0.56713    -15.0854
0.586034    -16.2736
0.604938    -17.773
0.623843    -15.6799
0.642747    -16.127
0.661651    -18.1145
0.680556    -16.6904
0.69946    -18.8336
0.718364    -17.5863
0.737269    -19.6595
0.756173    -18.9848
0.775077    -19.2853
0.793981    -20.2968
0.812886    -19.7126
0.83179    -21.5997
0.850694    -19.9798
0.869599    -22.3536
0.888503    -21.2114
0.907407    -22.3561
0.926312    -23.1779
0.945216    -21.4973
0.96412    -23.3034
0.983025    -22.8986
1.00193    -24.0881
1.02083    -23.8877
1.03974    -24.8018
1.05864    -24.3739
1.07755    -24.7202
1.09645    -26.5372
1.11535    -24.509
1.13426    -27.0806
1.15316    -26.0377
1.17207    -26.8226
1.19097    -26.9776
1.20988    -26.9938
1.22878    -27.1479
1.24769    -26.8208
1.26659    -28.4697
1.28549    -27.946
1.3044    -29.5843
1.3233    -28.6922
1.34221    -30.2318
1.36111    -29.3026
1.38002    -29.6839
1.39892    -30.1778
1.41782    -29.8877
1.43673    -31.6898
1.45563    -31.2037
1.47454    -31.9232
1.49344    -32.4462
1.51235    -31.7721
1.53125    -33.1112
1.55015    -33.0393
1.56906    -33.9786
1.58796    -34.2597
1.60687    -34.059
1.62577    -34.8219
1.64468    -34.4025
1.66358    -35.7801
1.68248    -35.3612
1.70139    -36.6578
1.72029    -35.5679
1.7392    -37.7969
1.7581    -36.8502
1.77701    -36.0342
1.79591    -38.2125
1.81481    -37.3703
1.83372    -37.7154
1.85262    -38.8371
1.87153    -39.0703
1.89043    -38.1605
1.90934    -39.4042
1.92824    -40.4264
1.94715    -37.8142
1.96605    -41.2628
1.98495    -39.9379
2.00386    -41.6016
2.02276    -40.7036
2.04167    -42.5336
2.06057    -42.3762
2.07948    -42.0723
2.09838    -43.7163
2.11728    -40.6402
2.13619    -44.8767
2.15509    -42.6715
2.174    -44.5503
2.1929    -44.0026
2.21181    -45.236
2.23071    -44.6129
2.24961    -45.0537
2.26852    -46.3362
2.28742    -45.7489
2.30633    -47.2302
2.32523    -46.7304
2.34414    -47.5425
2.36304    -48.0362
2.38194    -46.2326
2.40085    -49.8772
2.41975    -47.5244
2.43866    -48.7288
2.45756    -49.4818
2.47647    -49.3372
2.49537    -48.8355
2.51427    -48.9515
2.53318    -50.1777
2.55208    -49.5896
2.57099    -51.2831
2.58989    -50.3136
2.6088    -52.0469
2.6277    -50.9924
2.6466    -53.2338
2.66551    -52.3562
2.68441    -52.351
2.70332    -54.6107
2.72222    -52.3544
2.74113    -54.8862
2.76003    -52.3991
2.77894    -54.549
2.79784    -53.9513
2.81674    -53.5858
2.83565    -54.599
2.85455    -53.3238
2.87346    -53.9484
2.89236    -53.9058
2.91127    -53.933
2.93017    -54.7076
2.94907    -53.3054
2.96798    -55.4682
2.98688    -52.2786
3.00579    -54.859
3.02469    -52.986
3.0436    -54.1753
3.0625    -54.8891
3.0814    -52.7785
3.10031    -54.2977
3.11921    -53.5409
3.13812    -54.3075
3.15702    -53.778
3.17593    -54.641
3.19483    -53.3562
3.21373    -54.7738
3.23264    -54.4392
3.25154    -53.5636
3.27045    -54.1406
3.28935    -55.2444
3.30826    -55.1339
3.32716    -54.9819
3.34606    -56.0782
3.36497    -54.6367
3.38387    -54.0974
3.40278    -55.7945
3.42168    -54.7625
3.44059    -55.4369
3.45949    -55.8076
3.4784    -54.7392
3.4973    -54.9441
3.5162    -54.9743
3.53511    -55.506
3.55401    -55.4649
3.57292    -56.0386
3.59182    -54.0097
3.61073    -56.5608
3.62963    -55.127
3.64853    -54.0482
3.66744    -55.8863
3.68634    -55.1354
3.70525    -55.6949
3.72415    -54.709
3.74306    -54.822
3.76196    -55.9859
3.78086    -55.5467
3.79977    -55.1613
3.81867    -55.8751
3.83758    -55.9184
3.85648    -54.7252
3.87539    -56.6664
3.89429    -55.9018
3.91319    -56.6427
3.9321    -56.0277
3.951    -57.5678
3.96991    -55.0902
3.98881    -55.4701
4.00772    -56.892
4.02662    -54.9857
4.04552    -57.3435
4.06443    -55.8382
4.08333    -54.5917
4.10224    -57.1064
4.12114    -55.4303
4.14005    -56.0938
4.15895    -57.4862
4.17785    -56.2395
4.19676    -55.9131
4.21566    -56.3948
4.23457    -55.7606
4.25347    -54.7488
4.27238    -57.3517
4.29128    -55.4614
4.31019    -57.8121
4.32909    -54.4089
4.34799    -56.3051
4.3669    -56.1422
4.3858    -56.5643
4.40471    -56.7675
4.42361    -57.7251
4.44252    -57.4134
4.46142    -55.2483
4.48032    -56.9736
4.49923    -57.2157
4.51813    -57.8058
4.53704    -57.3767
4.55594    -58.0693
4.57485    -56.3161
4.59375    -56.0399
4.61265    -58.6884
4.63156    -55.5527
4.65046    -59.4395
4.66937    -55.7709
4.68827    -58.0141
4.70718    -57.8221
4.72608    -56.3989
4.74498    -58.7201
4.76389    -55.8856
4.78279    -57.708
4.8017    -57.5678
4.8206    -57.3796
4.83951    -56.9155
4.85841    -56.5544
4.87731    -58.0313
4.89622    -55.6441
4.91512    -59.8738
4.93403    -55.1059
4.95293    -57.6873
4.97184    -56.8094
4.99074    -58.7243
5.00965    -57.5752
5.02855    -57.5491
5.04745    -59.6599
5.06636    -56.5327
5.08526    -57.7673
5.10417    -57.6699
5.12307    -59.2849
5.14198    -57.6865
5.16088    -59.3224
5.17978    -57.7295
5.19869    -56.7791
5.21759    -60.3494
5.2365    -56.7897
5.2554    -59.4516
5.27431    -57.1228
5.29321    -61.2801
5.31211    -57.3651
5.33102    -58.6182
5.34992    -58.3705
5.36883    -56.8505
5.38773    -59.4212
5.40664    -59.0461
5.42554    -57.758
5.44444    -58.8073
5.46335    -58.2029
5.48225    -59.4164
5.50116    -57.0091
5.52006    -60.9993
5.53897    -57.0294
5.55787    -58.9774
5.57677    -59.7682
5.59568    -59.8899
5.61458    -56.6901
5.63349    -58.327
5.65239    -59.6072
5.6713    -58.9347
5.6902    -58.3016
5.7091    -58.4008
5.72801    -59.6438
5.74691    -59.1926
5.76582    -60.7016
5.78472    -58.0281
