TIME[ns],    Itot[uA],
0    -0.657809
9.67466e-07    -0.658079
0.00572626    -0.654064
0.0114516    -0.653721
0.0171768    -0.652863
0.0229021    -0.651425
0.0286274    -0.650114
0.0343527    -0.64889
0.040078    -0.64734
0.0458033    -0.646649
0.0515286    -0.645278
0.0572539    -0.643785
0.0629792    -0.643308
0.0687045    -0.641875
0.0744297    -0.640092
0.080155    -0.638788
0.0858803    -0.637489
0.0916056    -0.636913
0.0973309    -0.635461
0.103056    -0.633269
0.108781    -0.633009
0.114507    -0.631302
0.120232    -0.62994
0.125957    -0.629234
0.131683    -0.627316
0.137408    -0.626153
0.143133    -0.625395
0.148859    -0.62329
0.154584    -0.622079
0.160309    -0.621368
0.166034    -0.619157
0.17176    -0.617953
0.177485    -0.617138
0.18321    -0.615901
0.188936    -0.617115
0.194661    -0.61608
0.200386    -0.615038
0.206111    -0.61332
0.211837    -0.612103
0.217562    -0.610891
0.223287    -0.609871
0.229013    -0.608109
0.234738    -0.60744
0.240463    -0.605056
0.246188    -0.604273
0.251914    -0.602457
0.257639    -0.604436
0.263364    -0.603122
0.26909    -0.601679
0.274815    -0.600066
0.28054    -0.598689
0.286265    -0.597642
0.291991    -0.596455
0.297716    -0.594879
0.303441    -0.593107
0.309167    -0.592224
0.314892    -0.590632
0.320617    -0.589461
0.326342    -0.588151
0.332068    -0.589207
0.337793    -0.587879
0.343518    -0.586442
0.349244    -0.585086
0.354969    -0.584147
0.360694    -0.582689
0.366419    -0.580477
0.372145    -0.579619
0.37787    -0.578041
0.383595    -0.576506
0.389321    -0.578255
0.395046    -0.576602
0.400771    -0.575404
0.406496    -0.573624
0.412222    -0.572532
0.417947    -0.571903
0.423672    -0.573199
0.429398    -0.571323
0.435123    -0.570426
0.440848    -0.569335
0.446574    -0.568218
0.452299    -0.569228
0.458024    -0.56783
0.463749    -0.566589
0.469475    -0.565808
0.4752    -0.56342
0.480925    -0.562517
0.486651    -0.564286
0.492376    -0.562797
0.498101    -0.560907
0.503826    -0.560106
0.509552    -0.558543
0.515277    -0.56032
0.521002    -0.558678
0.526728    -0.557431
0.532453    -0.556277
0.538178    -0.554744
0.543903    -0.553363
0.549629    -0.55478
0.555354    -0.553698
0.561079    -0.552248
0.566805    -0.550578
0.57253    -0.549518
0.578255    -0.547803
0.58398    -0.549845
0.589706    -0.547904
0.595431    -0.546766
0.601156    -0.545229
0.606882    -0.543874
0.612607    -0.545203
0.618332    -0.543965
0.624057    -0.542376
0.629783    -0.541047
0.635508    -0.542469
0.641233    -0.541319
0.646958    -0.540311
0.652684    -0.538917
0.658409    -0.540349
0.664134    -0.539115
0.669858    -0.537854
0.675583    -0.536157
0.681308    -0.537843
0.687033    -0.536487
0.692757    -0.534511
0.698482    -0.533557
0.704207    -0.535306
0.709931    -0.533069
0.715656    -0.53217
0.721381    -0.531141
0.727105    -0.532
0.73283    -0.530863
0.738555    -0.52989
0.74428    -0.52814
0.750004    -0.529582
0.755729    -0.528724
0.761454    -0.527017
0.767178    -0.525292
0.772903    -0.527668
0.778628    -0.526048
0.784352    -0.524035
0.790077    -0.523072
0.795802    -0.524883
0.801526    -0.522822
0.807251    -0.521624
0.812976    -0.523598
0.8187    -0.521588
0.824425    -0.519849
0.83015    -0.519207
0.835874    -0.52037
0.841599    -0.518574
0.847324    -0.517878
0.853048    -0.516694
0.858773    -0.517433
0.864498    -0.517048
0.870222    -0.515659
0.875947    -0.51651
0.881672    -0.515907
0.887396    -0.515146
0.893121    -0.515627
0.898846    -0.514916
0.904571    -0.514145
0.910295    -0.514473
0.91602    -0.513615
0.921745    -0.512949
0.927469    -0.510424
0.933194    -0.512712
0.938919    -0.511582
0.944643    -0.50969
0.950368    -0.511583
0.956093    -0.510334
0.961817    -0.508533
0.967542    -0.510789
0.973267    -0.50921
0.978991    -0.508092
0.984716    -0.509575
0.990441    -0.50829
0.996166    -0.507395
1.00189    -0.508326
1.00761    -0.507228
1.01334    -0.50629
1.01906    -0.507357
1.02479    -0.506283
1.03051    -0.505013
1.03624    -0.503076
1.04196    -0.505138
1.04769    -0.503864
1.05341    -0.50199
1.05914    -0.503937
1.06486    -0.502644
1.07059    -0.50098
1.07631    -0.502892
1.08204    -0.501348
1.08776    -0.500341
1.09349    -0.501633
1.09921    -0.500413
1.10493    -0.499576
1.11066    -0.500671
1.11638    -0.499655
1.12211    -0.498209
1.12783    -0.499462
1.13356    -0.498382
1.13928    -0.497131
1.14501    -0.49843
1.15073    -0.497503
1.15646    -0.496074
1.16218    -0.494175
1.16791    -0.496011
1.17363    -0.495012
1.17936    -0.493381
1.18508    -0.494925
1.1908    -0.493854
1.19653    -0.492494
1.20225    -0.494042
1.20798    -0.492735
1.2137    -0.491604
1.21943    -0.492911
1.22515    -0.491922
1.23088    -0.490118
1.2366    -0.491619
1.24233    -0.490966
1.24805    -0.488798
1.25378    -0.490687
1.2595    -0.48972
1.26523    -0.48763
1.27095    -0.48647
1.27667    -0.488492
1.2824    -0.486597
1.28812    -0.485781
1.29385    -0.487102
1.29957    -0.485496
1.3053    -0.484431
1.31102    -0.485669
1.31675    -0.484661
1.32247    -0.48317
1.3282    -0.484726
1.33392    -0.483636
1.33965    -0.482249
1.34537    -0.483756
1.3511    -0.482319
1.35682    -0.481015
1.36255    -0.48213
1.36827    -0.481255
1.37399    -0.479989
1.37972    -0.478362
1.38544    -0.480334
1.39117    -0.478703
1.39689    -0.477554
1.40262    -0.479386
1.40834    -0.477585
1.41407    -0.479633
1.41979    -0.478483
1.42552    -0.476779
1.43124    -0.478438
1.43697    -0.477495
1.44269    -0.476095
1.44842    -0.47773
1.45414    -0.476523
1.45986    -0.475179
1.46559    -0.476857
1.47131    -0.475047
1.47704    -0.473915
1.48276    -0.475556
1.48849    -0.474229
1.49421    -0.472772
1.49994    -0.474784
1.50566    -0.473206
1.51139    -0.472001
1.51711    -0.474007
1.52284    -0.472359
1.52856    -0.470979
1.53429    -0.472567
1.54001    -0.471273
1.54574    -0.473022
1.55146    -0.471732
1.55718    -0.470313
1.56291    -0.472277
1.56863    -0.470722
1.57436    -0.46945
1.58008    -0.471277
1.58581    -0.469852
1.59153    -0.468313
1.59726    -0.469696
1.60298    -0.468487
1.60871    -0.467266
1.61443    -0.468775
1.62016    -0.467655
1.62588    -0.466446
1.63161    -0.467948
1.63733    -0.46672
1.64305    -0.465191
1.64878    -0.466947
1.6545    -0.46576
1.66023    -0.463762
1.66595    -0.466031
1.67168    -0.464476
1.6774    -0.466151
1.68313    -0.464918
1.68885    -0.463522
1.69458    -0.465304
1.7003    -0.464319
1.70603    -0.461951
1.71175    -0.464353
1.71748    -0.463247
1.7232    -0.461307
1.72892    -0.463614
1.73465    -0.46197
1.74037    -0.460575
1.7461    -0.462711
1.75182    -0.460701
1.75755    -0.459811
1.76327    -0.461785
1.769    -0.459543
1.77472    -0.461898
1.78045    -0.460553
1.78617    -0.458849
1.7919    -0.461025
1.79762    -0.459345
1.80335    -0.458118
1.80907    -0.46016
1.8148    -0.458219
1.82052    -0.457157
1.82624    -0.459197
1.83197    -0.457015
1.83769    -0.456096
1.84342    -0.45803
1.84914    -0.4563
1.85487    -0.458276
1.86059    -0.456448
1.86632    -0.455544
1.87204    -0.457554
1.87777    -0.455249
1.88349    -0.454404
1.88922    -0.456318
1.89494    -0.454413
1.90067    -0.45364
1.90639    -0.454963
1.91211    -0.45362
1.91784    -0.455665
1.92356    -0.453773
1.92929    -0.45299
1.93501    -0.454941
1.94074    -0.452679
1.94646    -0.451886
1.95219    -0.453642
1.95791    -0.451864
1.96364    -0.451006
1.96936    -0.452361
1.97509    -0.451314
1.98081    -0.453454
1.98654    -0.451547
1.99226    -0.450433
1.99799    -0.452245
2.00371    -0.450405
2.00943    -0.449563
2.01516    -0.451711
2.02088    -0.449842
2.02661    -0.448969
2.03233    -0.450302
2.03806    -0.449313
2.04378    -0.451308
2.04951    -0.449381
2.05523    -0.44827
2.06096    -0.450221
2.06668    -0.448398
2.07241    -0.447533
2.07813    -0.448996
2.08386    -0.447883
2.08958    -0.449779
2.0953    -0.448009
2.10103    -0.447031
2.10675    -0.448726
2.11248    -0.447008
2.1182    -0.446201
2.12393    -0.448041
2.12965    -0.4464
2.13538    -0.445304
2.1411    -0.446797
2.14683    -0.445643
2.15255    -0.447537
2.15828    -0.445953
2.164    -0.444768
2.16973    -0.446538
2.17545    -0.444973
2.18117    -0.443972
2.1869    -0.445852
2.19262    -0.444198
2.19835    -0.443048
2.20407    -0.444687
2.2098    -0.443566
2.21552    -0.44523
2.22125    -0.44353
2.22697    -0.442653
2.2327    -0.444413
2.23842    -0.442731
2.24415    -0.44163
2.24987    -0.443753
2.2556    -0.442031
2.26132    -0.444103
2.26705    -0.4425
2.27277    -0.441184
2.27849    -0.443124
2.28422    -0.441335
2.28994    -0.440309
2.29567    -0.442208
2.30139    -0.440496
2.30712    -0.439641
2.31284    -0.441206
2.31857    -0.439715
2.32429    -0.441729
2.33002    -0.439891
2.33574    -0.438794
2.34147    -0.440989
2.34719    -0.439055
2.35292    -0.43795
2.35864    -0.440004
2.36436    -0.43835
2.37009    -0.437159
2.37581    -0.438796
2.38154    -0.437288
2.38726    -0.439524
2.39299    -0.437572
2.39871    -0.436482
2.40444    -0.438553
2.41016    -0.436924
2.41589    -0.435656
2.42161    -0.437571
2.42734    -0.435784
2.43306    -0.43497
2.43879    -0.436021
2.44451    -0.434968
2.45023    -0.437275
2.45596    -0.435388
2.46168    -0.43419
2.46741    -0.436482
2.47313    -0.43436
2.47886    -0.433427
2.48458    -0.435027
2.49031    -0.433503
2.49603    -0.435924
2.50176    -0.433767
2.50748    -0.432816
2.51321    -0.434992
2.51893    -0.43283
2.52466    -0.431912
2.53038    -0.433882
2.53611    -0.432008
2.54183    -0.431349
2.54755    -0.432328
2.55328    -0.431324
2.559    -0.433791
2.56473    -0.431642
2.57045    -0.430481
2.57618    -0.432454
2.5819    -0.430435
2.58763    -0.429855
2.59335    -0.430813
2.59908    -0.429915
2.6048    -0.432241
2.61053    -0.430181
2.61625    -0.429333
2.62198    -0.430947
2.6277    -0.429027
2.63342    -0.428472
2.63915    -0.429455
2.64487    -0.428505
2.6506    -0.427859
2.65632    -0.428868
2.66205    -0.427956
2.66777    -0.429899
2.6735    -0.427705
2.67922    -0.427156
2.68495    -0.428541
2.69067    -0.427144
2.6964    -0.426516
2.70212    -0.427577
2.70785    -0.426635
2.71357    -0.428446
2.7193    -0.426324
2.72502    -0.425848
2.73074    -0.42731
2.73647    -0.425878
2.74219    -0.425206
2.74792    -0.426248
2.75364    -0.425236
2.75937    -0.424109
2.76509    -0.424972
2.77082    -0.42459
2.77654    -0.425779
2.78227    -0.424568
2.78799    -0.423839
2.79372    -0.424981
2.79944    -0.423912
2.80516    -0.422758
2.81089    -0.424031
2.81661    -0.423194
2.82234    -0.424439
2.82806    -0.423303
2.83379    -0.42249
2.83951    -0.423636
2.84524    -0.422583
2.85096    -0.42148
2.85668    -0.422774
2.86241    -0.42192
2.86813    -0.419885
2.87386    -0.421865
2.87958    -0.421327
2.88531    -0.422269
2.89103    -0.421229
2.89676    -0.420039
2.90248    -0.421405
2.9082    -0.420508
2.91393    -0.418721
2.91965    -0.420551
2.92538    -0.419943
2.9311    -0.420908
2.93683    -0.419819
2.94255    -0.418734
2.94828    -0.419983
2.954    -0.419189
2.95972    -0.420499
2.96545    -0.419107
2.97117    -0.418561
2.9769    -0.419534
2.98262    -0.418454
2.98835    -0.417286
2.99407    -0.418823
2.9998    -0.417871
3.00552    -0.419132
3.01124    -0.417726
3.01697    -0.417202
3.02269    -0.4181
3.02842    -0.417081
3.03414    -0.415902
3.03987    -0.417415
3.04559    -0.416482
3.05132    -0.417769
3.05704    -0.416372
3.06277    -0.415835
3.06849    -0.416787
3.07421    -0.415682
