TIME[ns],     Itot[uA],      Ie[uA],     Ih[uA],      Ieg[uA],      Ihg[uA] 
0.000000E+00    -7.284531E-01   -5.257823E-01    -2.026708E-01   0.000000E+00   0.000000E+00 
1.000000E-02    -7.358818E-01   -5.352370E-01    -2.006448E-01   0.000000E+00   0.000000E+00 
2.000000E-02    -7.389622E-01   -5.401509E-01    -1.988113E-01   0.000000E+00   0.000000E+00 
3.000000E-02    -7.346076E-01   -5.377803E-01    -1.968273E-01   0.000000E+00   0.000000E+00 
4.000000E-02    -7.300106E-01   -5.350898E-01    -1.949208E-01   0.000000E+00   0.000000E+00 
5.000000E-02    -7.229379E-01   -5.298303E-01    -1.931076E-01   0.000000E+00   0.000000E+00 
6.000000E-02    -7.207083E-01   -5.294599E-01    -1.912484E-01   0.000000E+00   0.000000E+00 
7.000000E-02    -7.139054E-01   -5.243424E-01    -1.895630E-01   0.000000E+00   0.000000E+00 
8.000000E-02    -7.116413E-01   -5.237754E-01    -1.878659E-01   0.000000E+00   0.000000E+00 
9.000000E-02    -7.071543E-01   -5.210196E-01    -1.861347E-01   0.000000E+00   0.000000E+00 
1.000000E-01    -7.025915E-01   -5.182609E-01    -1.843306E-01   0.000000E+00   0.000000E+00 
1.100000E-01    -6.977161E-01   -5.150057E-01    -1.827104E-01   0.000000E+00   0.000000E+00 
1.200000E-01    -6.928781E-01   -5.118841E-01    -1.809939E-01   0.000000E+00   0.000000E+00 
1.300000E-01    -6.909036E-01   -5.114380E-01    -1.794656E-01   0.000000E+00   0.000000E+00 
1.400000E-01    -6.858287E-01   -5.078366E-01    -1.779921E-01   0.000000E+00   0.000000E+00 
1.500000E-01    -6.835180E-01   -5.070913E-01    -1.764267E-01   0.000000E+00   0.000000E+00 
1.600000E-01    -6.790053E-01   -5.042001E-01    -1.748053E-01   0.000000E+00   0.000000E+00 
1.700000E-01    -6.766359E-01   -5.033475E-01    -1.732884E-01   0.000000E+00   0.000000E+00 
1.800000E-01    -6.714902E-01   -4.996226E-01    -1.718676E-01   0.000000E+00   0.000000E+00 
1.900000E-01    -6.692308E-01   -4.988927E-01    -1.703380E-01   0.000000E+00   0.000000E+00 
2.000000E-01    -6.645908E-01   -4.956150E-01    -1.689758E-01   0.000000E+00   0.000000E+00 
2.100000E-01    -6.620782E-01   -4.944237E-01    -1.676545E-01   0.000000E+00   0.000000E+00 
2.200000E-01    -6.568189E-01   -4.906795E-01    -1.661394E-01   0.000000E+00   0.000000E+00 
2.300000E-01    -6.544878E-01   -4.896249E-01    -1.648629E-01   0.000000E+00   0.000000E+00 
2.400000E-01    -6.522654E-01   -4.886854E-01    -1.635800E-01   0.000000E+00   0.000000E+00 
2.500000E-01    -6.497116E-01   -4.873998E-01    -1.623118E-01   0.000000E+00   0.000000E+00 
2.600000E-01    -6.449387E-01   -4.839396E-01    -1.609991E-01   0.000000E+00   0.000000E+00 
2.700000E-01    -6.425496E-01   -4.827822E-01    -1.597674E-01   0.000000E+00   0.000000E+00 
2.800000E-01    -6.394120E-01   -4.808602E-01    -1.585518E-01   0.000000E+00   0.000000E+00 
2.900000E-01    -6.368544E-01   -4.794891E-01    -1.573652E-01   0.000000E+00   0.000000E+00 
3.000000E-01    -6.344982E-01   -4.783654E-01    -1.561328E-01   0.000000E+00   0.000000E+00 
3.100000E-01    -6.317482E-01   -4.766937E-01    -1.550544E-01   0.000000E+00   0.000000E+00 
3.200000E-01    -6.292826E-01   -4.753682E-01    -1.539144E-01   0.000000E+00   0.000000E+00 
3.300000E-01    -6.267258E-01   -4.739043E-01    -1.528215E-01   0.000000E+00   0.000000E+00 
3.400000E-01    -6.241049E-01   -4.723562E-01    -1.517486E-01   0.000000E+00   0.000000E+00 
3.500000E-01    -6.212859E-01   -4.707248E-01    -1.505611E-01   0.000000E+00   0.000000E+00 
3.600000E-01    -6.190257E-01   -4.694079E-01    -1.496178E-01   0.000000E+00   0.000000E+00 
3.700000E-01    -6.160543E-01   -4.674996E-01    -1.485546E-01   0.000000E+00   0.000000E+00 
3.800000E-01    -6.138239E-01   -4.662577E-01    -1.475661E-01   0.000000E+00   0.000000E+00 
3.900000E-01    -6.108519E-01   -4.642872E-01    -1.465647E-01   0.000000E+00   0.000000E+00 
4.000000E-01    -6.080977E-01   -4.625412E-01    -1.455565E-01   0.000000E+00   0.000000E+00 
4.100000E-01    -6.078059E-01   -4.632725E-01    -1.445334E-01   0.000000E+00   0.000000E+00 
4.200000E-01    -6.050899E-01   -4.614451E-01    -1.436448E-01   0.000000E+00   0.000000E+00 
4.300000E-01    -6.025572E-01   -4.598038E-01    -1.427535E-01   0.000000E+00   0.000000E+00 
4.400000E-01    -5.998643E-01   -4.579803E-01    -1.418841E-01   0.000000E+00   0.000000E+00 
4.500000E-01    -5.998171E-01   -4.589135E-01    -1.409036E-01   0.000000E+00   0.000000E+00 
4.600000E-01    -5.969080E-01   -4.568209E-01    -1.400871E-01   0.000000E+00   0.000000E+00 
4.700000E-01    -5.941048E-01   -4.549339E-01    -1.391710E-01   0.000000E+00   0.000000E+00 
