TIME[ns],    Itot[uA],
0    -0.657809
9.77239e-07    -0.658079
0.0057841    -0.654064
0.0115672    -0.653734
0.0173503    -0.652862
0.0231335    -0.651424
0.0289166    -0.649904
0.0346997    -0.649479
0.0404828    -0.647338
0.046266    -0.646647
0.0520491    -0.645451
0.0578322    -0.644192
0.0636153    -0.643303
0.0693984    -0.642573
0.0751816    -0.6403
0.0809647    -0.639564
0.0867478    -0.63767
0.0925309    -0.636875
0.098314    -0.635653
0.104097    -0.633428
0.10988    -0.633003
0.115663    -0.631294
0.121447    -0.630287
0.12723    -0.628975
0.133013    -0.628051
0.138796    -0.626435
0.144579    -0.625365
0.150362    -0.624052
0.156145    -0.622645
0.161928    -0.621968
0.167711    -0.620331
0.173495    -0.61845
0.179278    -0.61758
0.185061    -0.616286
0.190844    -0.61473
0.196627    -0.613716
0.20241    -0.612431
0.208193    -0.614213
0.213976    -0.612694
0.21976    -0.611627
0.225543    -0.610124
0.231326    -0.608707
0.237109    -0.607193
0.242892    -0.606462
0.248675    -0.605218
0.254458    -0.603692
0.260241    -0.602278
0.266025    -0.600432
0.271808    -0.599535
0.277591    -0.597989
0.283374    -0.59667
0.289157    -0.598323
0.29494    -0.596669
0.300723    -0.595587
0.306506    -0.594545
0.312289    -0.592918
0.318073    -0.591669
0.323856    -0.590197
0.329639    -0.588458
0.335422    -0.587422
0.341205    -0.586052
0.346988    -0.584987
0.352771    -0.58245
0.358554    -0.581381
0.364338    -0.580261
0.370121    -0.57913
0.375904    -0.580365
0.381687    -0.579212
0.38747    -0.577368
0.393253    -0.576114
0.399036    -0.574754
0.404819    -0.573702
0.410603    -0.572471
0.416386    -0.574364
0.422169    -0.572171
0.427952    -0.571105
0.433735    -0.570347
0.439518    -0.568949
0.445301    -0.5699
0.451084    -0.568668
0.456867    -0.567798
0.462651    -0.566194
0.468434    -0.564606
0.474217    -0.563175
0.48    -0.565345
0.485783    -0.563955
0.491566    -0.562668
0.497349    -0.561098
0.503132    -0.559727
0.508916    -0.55855
0.514699    -0.560312
0.520482    -0.558685
0.526265    -0.556979
0.532048    -0.556129
0.537831    -0.554746
0.543614    -0.552688
0.549397    -0.554774
0.55518    -0.553772
0.560964    -0.552
0.566747    -0.550574
0.57253    -0.549212
0.578313    -0.547802
0.584096    -0.549844
0.589879    -0.547984
0.595662    -0.54677
0.601445    -0.545229
0.607229    -0.543916
0.613012    -0.5452
0.618795    -0.544038
0.624578    -0.542453
0.630361    -0.541872
0.636144    -0.542863
0.641927    -0.541418
0.64771    -0.540414
0.653493    -0.539136
0.659276    -0.540457
0.665059    -0.539087
0.670841    -0.537951
0.676624    -0.536153
0.682406    -0.537968
0.688189    -0.536482
0.693971    -0.535463
0.699754    -0.533687
0.705536    -0.535275
0.711319    -0.534264
0.717102    -0.532408
0.722884    -0.531374
0.728667    -0.53362
0.734449    -0.530861
0.740232    -0.530276
0.746014    -0.529439
0.751797    -0.52657
0.757579    -0.529129
0.763362    -0.527933
0.769144    -0.525979
0.774927    -0.52447
0.780709    -0.526425
0.786492    -0.524754
0.792274    -0.523373
0.798057    -0.521869
0.803839    -0.52417
0.809622    -0.522119
0.815404    -0.520703
0.821187    -0.519962
0.826969    -0.520804
0.832752    -0.519076
0.838534    -0.518525
0.844317    -0.517023
0.850099    -0.517863
0.855882    -0.517621
0.861664    -0.516025
0.867447    -0.516967
0.873229    -0.516337
0.879012    -0.515465
0.884794    -0.516244
0.890577    -0.515316
0.896359    -0.514843
0.902142    -0.515027
0.907924    -0.514354
0.913707    -0.513607
0.919489    -0.511061
0.925272    -0.513351
0.931054    -0.512554
0.936837    -0.510486
0.942619    -0.512252
0.948402    -0.511358
0.954184    -0.509772
0.959967    -0.511146
0.965749    -0.510418
0.971532    -0.509014
0.977315    -0.510137
0.983097    -0.509179
0.98888    -0.508025
0.994662    -0.506052
1.00044    -0.507882
1.00623    -0.507191
1.01201    -0.505578
1.01779    -0.50678
1.02357    -0.506119
1.02936    -0.504737
1.03514    -0.505639
1.04092    -0.505063
1.0467    -0.503551
1.05249    -0.504731
1.05827    -0.503799
1.06405    -0.502562
1.06983    -0.500502
1.07562    -0.502765
1.0814    -0.501325
1.08718    -0.500238
1.09296    -0.501935
1.09875    -0.500416
1.10453    -0.499235
1.11031    -0.500671
1.11609    -0.499652
1.12188    -0.498214
1.12766    -0.499466
1.13344    -0.498381
1.13922    -0.497123
1.14501    -0.498005
1.15079    -0.497436
1.15657    -0.496116
1.16235    -0.49436
1.16814    -0.496447
1.17392    -0.494992
1.1797    -0.493745
1.18548    -0.495055
1.19127    -0.493851
1.19705    -0.492612
1.20283    -0.494046
1.20862    -0.492726
1.2144    -0.491625
1.22018    -0.493007
1.22596    -0.491921
1.23175    -0.490663
1.23753    -0.488807
1.24331    -0.490941
1.24909    -0.489504
1.25488    -0.488245
1.26066    -0.490027
1.26644    -0.488525
1.27222    -0.487035
1.27801    -0.488634
1.28379    -0.487062
1.28957    -0.486133
1.29535    -0.4877
1.30114    -0.486163
1.30692    -0.485024
1.3127    -0.483576
1.31848    -0.484793
1.32427    -0.483938
1.33005    -0.482708
1.33583    -0.483546
1.34161    -0.482723
1.3474    -0.48134
1.35318    -0.48264
1.35896    -0.481457
1.36474    -0.479719
1.37053    -0.481881
1.37631    -0.480559
1.38209    -0.478986
1.38787    -0.481022
1.39366    -0.479782
1.39944    -0.478287
1.40522    -0.480068
1.411    -0.478837
1.41679    -0.477223
1.42257    -0.478971
1.42835    -0.477793
1.43413    -0.476406
1.43992    -0.478108
1.4457    -0.477002
1.45148    -0.475623
1.45726    -0.47729
1.46305    -0.476202
1.46883    -0.474769
1.47461    -0.476399
1.48039    -0.474671
1.48618    -0.473791
1.49196    -0.47555
1.49774    -0.473959
1.50352    -0.472821
1.50931    -0.47439
1.51509    -0.472938
1.52087    -0.47199
1.52665    -0.473655
1.53244    -0.472024
1.53822    -0.470755
1.544    -0.472782
1.54978    -0.471056
1.55557    -0.469864
1.56135    -0.471326
1.56713    -0.470201
1.57291    -0.468816
1.5787    -0.4705
1.58448    -0.469268
1.59026    -0.468107
1.59604    -0.469519
1.60183    -0.468477
1.60761    -0.466977
1.61339    -0.468798
1.61917    -0.467583
1.62496    -0.468461
1.63074    -0.467651
1.63652    -0.466731
1.6423    -0.467656
1.64809    -0.466642
1.65387    -0.465703
1.65965    -0.466816
1.66543    -0.465836
1.67122    -0.464351
1.677    -0.466165
1.68278    -0.464924
1.68856    -0.46358
1.69435    -0.465304
1.70013    -0.464331
1.70591    -0.461964
1.71169    -0.464218
1.71748    -0.463338
1.72326    -0.461324
1.72904    -0.46362
1.73482    -0.462412
1.74061    -0.460654
1.74639    -0.462711
1.75217    -0.461041
1.75795    -0.459806
1.76374    -0.462065
1.76952    -0.459548
1.7753    -0.458995
1.78108    -0.460848
1.78687    -0.458878
1.79265    -0.461105
1.79843    -0.459912
1.80421    -0.458137
1.81    -0.460227
1.81578    -0.458677
1.82156    -0.457318
1.82734    -0.45952
1.83313    -0.457437
1.83891    -0.456685
1.84469    -0.458595
1.85047    -0.456321
1.85626    -0.455298
1.86204    -0.457444
1.86782    -0.455436
1.8736    -0.454685
1.87939    -0.456617
1.88517    -0.454771
1.89095    -0.456865
1.89673    -0.454922
1.90252    -0.453991
1.9083    -0.455984
1.91408    -0.453856
1.91986    -0.452784
1.92565    -0.45513
1.93143    -0.452962
1.93721    -0.452095
1.94299    -0.453975
1.94878    -0.452143
1.95456    -0.451229
1.96034    -0.452696
1.96612    -0.451568
1.97191    -0.453735
1.97769    -0.451862
1.98347    -0.451042
1.98925    -0.453051
1.99504    -0.45089
2.00082    -0.449925
2.0066    -0.45191
2.01238    -0.450188
2.01817    -0.449162
2.02395    -0.451131
2.02973    -0.449647
2.03551    -0.451684
2.0413    -0.449839
2.04708    -0.44904
2.05286    -0.451008
2.05864    -0.448735
2.06443    -0.447997
2.07021    -0.449934
2.07599    -0.448173
2.08177    -0.447213
2.08756    -0.449136
2.09334    -0.447605
2.09912    -0.446721
2.1049    -0.448041
2.11069    -0.447024
2.11647    -0.448948
2.12225    -0.44718
2.12803    -0.445968
2.13382    -0.447803
2.1396    -0.446183
2.14538    -0.445258
2.15116    -0.447026
2.15695    -0.445607
2.16273    -0.444483
2.16851    -0.446361
2.17429    -0.444743
2.18008    -0.446674
2.18586    -0.445089
2.19164    -0.443942
2.19742    -0.445804
2.20321    -0.444078
2.20899    -0.44328
2.21477    -0.444942
2.22055    -0.443532
2.22634    -0.442163
2.23212    -0.444273
2.2379    -0.442633
2.24368    -0.441626
2.24947    -0.443291
2.25525    -0.441985
2.26103    -0.443776
2.26681    -0.442069
2.2726    -0.441114
2.27838    -0.443112
2.28416    -0.441326
2.28994    -0.440159
2.29573    -0.442212
2.30151    -0.440501
2.30729    -0.439643
2.31307    -0.441644
2.31886    -0.439876
2.32464    -0.441801
2.33042    -0.440314
2.3362    -0.438798
2.34199    -0.440995
2.34777    -0.439212
2.35355    -0.438112
2.35933    -0.440149
2.36512    -0.4384
2.3709    -0.43723
2.37668    -0.439394
2.38246    -0.437635
2.38825    -0.436556
2.39403    -0.438226
2.39981    -0.436726
2.40559    -0.438887
2.41138    -0.436983
2.41716    -0.435849
2.42294    -0.438261
2.42872    -0.436288
2.43451    -0.435088
2.44029    -0.437342
2.44607    -0.435541
2.45185    -0.434435
2.45764    -0.436447
2.46342    -0.434322
2.4692    -0.436782
2.47498    -0.434834
2.48077    -0.433626
2.48655    -0.436135
2.49233    -0.434086
2.49811    -0.432971
2.5039    -0.435291
2.50968    -0.433178
2.51546    -0.432258
2.52124    -0.434362
2.52703    -0.432253
2.53281    -0.431749
2.53859    -0.432566
2.54438    -0.431599
2.55016    -0.433968
2.55594    -0.432017
2.56172    -0.430931
2.56751    -0.433167
2.57329    -0.43082
2.57907    -0.430225
2.58485    -0.431541
2.59064    -0.43004
2.59642    -0.429654
2.6022    -0.430519
2.60798    -0.429464
2.61377    -0.431926
2.61955    -0.429938
2.62533    -0.4289
2.63111    -0.430878
2.6369    -0.42869
2.64268    -0.42826
2.64846    -0.429644
2.65424    -0.428158
2.66003    -0.427577
2.66581    -0.428627
2.67159    -0.427722
2.67737    -0.429635
2.68316    -0.427483
2.68894    -0.42689
2.69472    -0.428572
2.7005    -0.42687
2.70629    -0.426372
2.71207    -0.427835
2.71785    -0.4264
2.72363    -0.425328
2.72942    -0.426828
2.7352    -0.425758
2.74098    -0.424651
2.74676    -0.425537
2.75255    -0.425109
2.75833    -0.42675
2.76411    -0.425078
2.76989    -0.424575
2.77568    -0.425503
2.78146    -0.424446
2.78724    -0.423269
2.79302    -0.42491
2.79881    -0.423914
2.80459    -0.422753
2.81037    -0.423788
2.81615    -0.423202
2.82193    -0.424159
2.82772    -0.423165
2.8335    -0.422141
2.83928    -0.423641
2.84506    -0.422587
2.85085    -0.421473
2.85663    -0.42242
2.86241    -0.421922
2.86819    -0.422933
2.87397    -0.421719
2.87976    -0.42133
2.88554    -0.422262
2.89132    -0.42122
2.8971    -0.420033
2.90289    -0.421656
2.90867    -0.420635
2.91445    -0.418803
2.92023    -0.42048
2.92601    -0.419938
2.9318    -0.420892
2.93758    -0.419814
2.94336    -0.419455
2.94914    -0.42023
2.95493    -0.419271
2.96071    -0.418125
2.96649    -0.419396
2.97227    -0.418718
2.97806    -0.419923
2.98384    -0.418524
2.98962    -0.418075
2.9954    -0.418883
3.00118    -0.417846
3.00697    -0.417011
3.01275    -0.418361
3.01853    -0.417325
3.02431    -0.418537
3.0301    -0.417195
3.03588    -0.416679
3.04166    -0.4177
3.04744    -0.416474
3.05323    -0.416125
3.05901    -0.416989
3.06479    -0.415944
3.07057    -0.417848
3.07635    -0.41632
3.08214    -0.415418
3.08792    -0.416639
3.0937    -0.415264
3.09948    -0.414743
3.10527    -0.415719
3.11105    -0.414531
3.11683    -0.414066
3.12261    -0.415025
3.1284    -0.414053
3.13418    -0.415681
3.13996    -0.414136
3.14574    -0.413329
3.15152    -0.414661
3.15731    -0.413305
3.16309    -0.412803
3.16887    -0.413632
3.17465    -0.412634
3.18044    -0.414523
3.18622    -0.413056
3.192    -0.412146
3.19778    -0.413296
