TIME[ns],    Itot[uA],
0    -1.46854
0.00385434    -1.46743
0.00770868    -1.46591
0.011563    -1.46501
0.0154174    -1.46344
0.0192717    -1.46245
0.023126    -1.46099
0.0269804    -1.45949
0.0308347    -1.45847
0.0346891    -1.45701
0.0385434    -1.45597
0.0423977    -1.45331
0.0462521    -1.45236
0.0501064    -1.45087
0.0539608    -1.44941
0.0578151    -1.44847
0.0616694    -1.44699
0.0655238    -1.446
0.0693781    -1.44452
0.0732325    -1.44353
0.0770868    -1.44205
0.0809411    -1.44059
0.0847955    -1.43836
0.0886498    -1.4369
0.0925042    -1.43592
0.0963585    -1.43446
0.100213    -1.43347
0.104067    -1.43204
0.107922    -1.43056
0.111776    -1.42955
0.11563    -1.42811
0.119485    -1.42711
0.123339    -1.42563
0.127193    -1.42342
0.131048    -1.42194
0.134902    -1.42047
0.138756    -1.41952
0.142611    -1.41803
0.146465    -1.41704
0.150319    -1.41559
0.154174    -1.41458
0.158028    -1.41314
0.161882    -1.41164
0.165737    -1.41066
0.169591    -1.40797
0.173445    -1.40699
0.1773    -1.40551
0.181154    -1.40404
0.185008    -1.40307
0.188863    -1.40163
0.192717    -1.40063
0.196571    -1.39917
0.200426    -1.39818
0.20428    -1.39674
0.208134    -1.39526
0.211989    -1.39305
0.215843    -1.39159
0.219697    -1.39061
0.223552    -1.38912
0.227406    -1.38816
0.23126    -1.38668
0.235115    -1.38522
0.238969    -1.38424
0.242823    -1.3828
0.246678    -1.38178
0.250532    -1.38032
0.254386    -1.37933
0.258241    -1.37662
0.262095    -1.37518
0.265949    -1.37421
0.269804    -1.37271
0.273658    -1.37175
0.277513    -1.37027
0.281367    -1.3693
0.285221    -1.36783
0.289076    -1.36641
0.29293    -1.36543
0.296784    -1.36397
0.300639    -1.363
0.304493    -1.36154
0.308347    -1.3593
0.312202    -1.35785
0.316056    -1.3564
0.31991    -1.3554
0.323765    -1.35394
0.327619    -1.35299
0.331473    -1.35157
0.335328    -1.35007
0.339182    -1.3491
0.343036    -1.34766
0.346891    -1.34662
0.350745    -1.3452
0.354599    -1.34422
0.358454    -1.34152
0.362308    -1.34006
0.366162    -1.3391
0.370017    -1.33762
0.373871    -1.33666
0.377725    -1.3352
0.38158    -1.33424
0.385434    -1.33279
0.389288    -1.33135
0.393143    -1.33032
0.396997    -1.32889
0.400851    -1.32798
0.404706    -1.32656
0.40856    -1.32554
0.412414    -1.32287
0.416269    -1.3214
0.420123    -1.32043
0.423977    -1.31898
0.427832    -1.31799
0.431686    -1.31652
0.43554    -1.31557
0.439395    -1.31413
0.443249    -1.31268
0.447103    -1.31174
0.450958    -1.31028
0.454812    -1.30928
0.458666    -1.30785
0.462521    -1.30688
0.466375    -1.30545
0.47023    -1.30277
0.474084    -1.30179
0.477938    -1.30035
0.481793    -1.29939
0.485647    -1.29796
0.489501    -1.29699
0.493356    -1.29553
0.49721    -1.29408
0.501064    -1.29311
0.504919    -1.29169
0.508773    -1.29072
0.512627    -1.2893
0.516482    -1.28787
0.520336    -1.28692
0.52419    -1.28547
0.528045    -1.28449
0.531899    -1.28305
0.535753    -1.28087
0.539608    -1.27943
0.543462    -1.27797
0.547316    -1.27703
0.551171    -1.27561
0.555025    -1.27462
0.558879    -1.27319
0.562734    -1.27224
0.566588    -1.27079
0.570442    -1.26935
0.574297    -1.2684
0.578151    -1.26696
0.582005    -1.26601
0.58586    -1.26459
0.589714    -1.26365
0.593568    -1.26224
0.597423    -1.2608
0.601277    -1.25981
0.605131    -1.25718
0.608986    -1.25622
0.61284    -1.25479
0.616694    -1.25385
0.620549    -1.25241
0.624403    -1.25095
0.628257    -1.25004
0.632112    -1.24859
0.635966    -1.24763
0.63982    -1.24625
0.643675    -1.2453
0.647529    -1.24384
0.651384    -1.24244
0.655238    -1.24145
0.659092    -1.24003
0.662947    -1.23911
0.666801    -1.23766
0.670655    -1.23622
0.67451    -1.23532
0.678364    -1.23387
0.682218    -1.23296
0.686073    -1.2303
0.689927    -1.22933
0.693781    -1.22796
0.697636    -1.22653
0.70149    -1.22553
0.705344    -1.22421
0.709199    -1.22324
0.713053    -1.22178
0.716907    -1.22088
0.720762    -1.21944
0.724616    -1.21796
0.72847    -1.21712
0.732325    -1.21566
0.736179    -1.21469
0.740033    -1.21329
0.743888    -1.21235
0.747742    -1.2109
0.751596    -1.20952
0.755451    -1.20856
0.759305    -1.20715
0.763159    -1.20626
0.767014    -1.20485
0.770868    -1.20392
0.774722    -1.20252
0.778577    -1.20108
0.782431    -1.19894
0.786285    -1.19753
0.79014    -1.1966
0.793994    -1.19517
0.797848    -1.19422
0.801703    -1.19284
0.805557    -1.19142
0.809411    -1.19049
0.813266    -1.18911
0.81712    -1.18815
0.820974    -1.18673
0.824829    -1.18533
0.828683    -1.18439
0.832537    -1.18296
0.836392    -1.18204
0.840246    -1.18061
0.844101    -1.17971
0.847955    -1.17829
0.851809    -1.17688
0.855664    -1.17597
0.859518    -1.1746
0.863372    -1.17365
0.867227    -1.17228
0.871081    -1.17137
0.874935    -1.16999
0.87879    -1.16858
0.882644    -1.16766
0.886498    -1.16626
0.890353    -1.16534
0.894207    -1.16393
0.898061    -1.16178
0.901916    -1.16038
0.90577    -1.15898
0.909624    -1.15805
0.913479    -1.15664
0.917333    -1.15572
0.921187    -1.15432
0.925042    -1.15338
0.928896    -1.15201
0.93275    -1.15058
0.936605    -1.14966
0.940459    -1.14826
0.944313    -1.14733
0.948168    -1.14595
0.952022    -1.14507
0.955876    -1.14366
0.959731    -1.14229
0.963585    -1.14137
0.967439    -1.13999
0.971294    -1.13907
0.975148    -1.13767
0.979002    -1.13675
0.982857    -1.13537
0.986711    -1.13397
0.990565    -1.13306
0.99442    -1.13166
0.998274    -1.13075
1.00213    -1.12935
1.00598    -1.12796
1.00984    -1.12704
1.01369    -1.12567
1.01755    -1.12475
1.0214    -1.12337
1.02525    -1.12244
1.02911    -1.12105
1.03296    -1.11965
1.03682    -1.11874
1.04067    -1.11612
1.04453    -1.11521
1.04838    -1.11384
1.05223    -1.11298
1.05609    -1.11159
1.05994    -1.11022
1.0638    -1.1093
1.06765    -1.10793
1.07151    -1.10706
1.07536    -1.10568
1.07922    -1.10477
1.08307    -1.10342
1.08692    -1.102
1.09078    -1.10111
1.09463    -1.09973
1.09849    -1.0988
1.10234    -1.09743
1.1062    -1.09656
1.11005    -1.09514
1.1139    -1.09377
1.11776    -1.09287
1.12161    -1.09148
1.12547    -1.09057
1.12932    -1.08919
1.13318    -1.08828
1.13703    -1.08689
1.14088    -1.08551
1.14474    -1.08461
1.14859    -1.08322
1.15245    -1.08233
1.1563    -1.08095
1.16016    -1.07957
1.16401    -1.07868
1.16787    -1.0773
1.17172    -1.07641
1.17557    -1.07503
1.17943    -1.07412
1.18328    -1.07276
1.18714    -1.07137
1.19099    -1.07048
1.19485    -1.06912
1.1987    -1.06822
1.20255    -1.06683
1.20641    -1.06597
1.21026    -1.06458
1.21412    -1.0632
1.21797    -1.06231
1.22183    -1.06093
1.22568    -1.06003
1.22953    -1.05865
1.23339    -1.05653
1.23724    -1.05518
1.2411    -1.0538
1.24495    -1.05291
1.24881    -1.05154
1.25266    -1.05063
1.25651    -1.04927
1.26037    -1.04838
1.26422    -1.04701
1.26808    -1.04565
1.27193    -1.04475
1.27579    -1.04339
1.27964    -1.0425
1.2835    -1.04113
1.28735    -1.04024
1.2912    -1.03887
1.29506    -1.0375
1.29891    -1.03661
1.30277    -1.03524
1.30662    -1.03436
1.31048    -1.03298
1.31433    -1.03163
1.31818    -1.03072
1.32204    -1.02935
1.32589    -1.02847
1.32975    -1.0271
1.3336    -1.02619
1.33746    -1.02486
1.34131    -1.02349
1.34516    -1.0226
1.34902    -1.02123
1.35287    -1.02036
1.35673    -1.019
1.36058    -1.01811
1.36444    -1.01675
1.36829    -1.01539
1.37215    -1.0145
1.376    -1.01314
1.37985    -1.01226
1.38371    -1.01089
1.38756    -1.01
1.39142    -1.00865
1.39527    -1.0073
1.39913    -1.00644
1.40298    -1.00508
1.40683    -1.0042
1.41069    -1.00283
1.41454    -1.00194
1.4184    -1.00058
1.42225    -0.999243
1.42611    -0.998388
1.42996    -0.997019
1.43381    -0.996137
1.43767    -0.994781
1.44152    -0.99391
1.44538    -0.992549
1.44923    -0.991187
1.45309    -0.990321
1.45694    -0.988956
1.46079    -0.988085
1.46465    -0.986724
1.4685    -0.98536
1.47236    -0.984488
1.47621    -0.983135
1.48007    -0.982251
1.48392    -0.980898
1.48778    -0.98002
1.49163    -0.978653
1.49548    -0.977303
1.49934    -0.976423
1.50319    -0.975052
1.50705    -0.974188
1.5109    -0.972821
1.51476    -0.971932
1.51861    -0.969359
1.52246    -0.967998
1.52632    -0.967125
1.53017    -0.965779
1.53403    -0.964892
1.53788    -0.963528
1.54174    -0.962656
1.54559    -0.961301
1.54944    -0.959935
1.5533    -0.959059
1.55715    -0.957713
1.56101    -0.956832
1.56486    -0.955482
1.56872    -0.95461
1.57257    -0.953245
1.57643    -0.951904
1.58028    -0.951024
1.58413    -0.949662
1.58799    -0.9488
1.59184    -0.947443
1.5957    -0.946557
1.59955    -0.945221
1.60341    -0.943864
1.60726    -0.942983
1.61111    -0.941639
1.61497    -0.94076
1.61882    -0.939409
1.62268    -0.938546
1.62653    -0.937187
1.63039    -0.935827
1.63424    -0.93496
1.63809    -0.933605
1.64195    -0.932718
1.6458    -0.931383
1.64966    -0.930018
1.65351    -0.929155
1.65737    -0.92782
1.66122    -0.926947
1.66508    -0.925581
1.66893    -0.924727
1.67278    -0.923371
1.67664    -0.922018
1.68049    -0.921159
1.68435    -0.919802
1.6882    -0.918923
1.69206    -0.917599
1.69591    -0.91672
1.69976    -0.915365
1.70362    -0.914027
1.70747    -0.913151
1.71133    -0.91179
1.71518    -0.910931
1.71904    -0.909578
1.72289    -0.908707
1.72674    -0.907377
