TIME[ns],     Itot[uA],      Ie[uA],     Ih[uA],      Ieg[uA],      Ihg[uA] 
0.000000E+00    -5.445858E-01   -3.901944E-01    -1.543915E-01   0.000000E+00   0.000000E+00 
1.000000E-02    -5.445618E-01   -3.902525E-01    -1.543094E-01   0.000000E+00   0.000000E+00 
2.000000E-02    -5.445411E-01   -3.903124E-01    -1.542287E-01   0.000000E+00   0.000000E+00 
3.000000E-02    -5.445211E-01   -3.903735E-01    -1.541477E-01   0.000000E+00   0.000000E+00 
4.000000E-02    -5.441033E-01   -3.900367E-01    -1.540667E-01   0.000000E+00   0.000000E+00 
5.000000E-02    -5.434861E-01   -3.895006E-01    -1.539855E-01   0.000000E+00   0.000000E+00 
6.000000E-02    -5.430677E-01   -3.891626E-01    -1.539050E-01   0.000000E+00   0.000000E+00 
7.000000E-02    -5.424476E-01   -3.886241E-01    -1.538236E-01   0.000000E+00   0.000000E+00 
8.000000E-02    -5.418276E-01   -3.880854E-01    -1.537422E-01   0.000000E+00   0.000000E+00 
9.000000E-02    -5.414088E-01   -3.877473E-01    -1.536615E-01   0.000000E+00   0.000000E+00 
1.000000E-01    -5.408615E-01   -3.872109E-01    -1.536506E-01   0.000000E+00   0.000000E+00 
1.100000E-01    -5.404447E-01   -3.868747E-01    -1.535699E-01   0.000000E+00   0.000000E+00 
1.200000E-01    -5.398260E-01   -3.863370E-01    -1.534891E-01   0.000000E+00   0.000000E+00 
1.300000E-01    -5.394061E-01   -3.859978E-01    -1.534083E-01   0.000000E+00   0.000000E+00 
1.400000E-01    -5.387864E-01   -3.854590E-01    -1.533274E-01   0.000000E+00   0.000000E+00 
1.500000E-01    -5.383683E-01   -3.851210E-01    -1.532473E-01   0.000000E+00   0.000000E+00 
1.600000E-01    -5.377513E-01   -3.845848E-01    -1.531665E-01   0.000000E+00   0.000000E+00 
1.700000E-01    -5.371341E-01   -3.840481E-01    -1.530859E-01   0.000000E+00   0.000000E+00 
